Zipcode,Median Income ,Old Median Income,Growth
ZCTA5 02791,244,5894,-5650
ZCTA5 02802,238,394,-156
ZCTA5 02804,898,952,-54
ZCTA5 02806,6176,8921,-2745
ZCTA5 02807,459,646,-187
ZCTA5 02808,901,3049,-2148
ZCTA5 02809,8065,2756,5309
ZCTA5 02812,438,79,359
ZCTA5 02813,3459,12648,-9189
ZCTA5 02814,2902,2275,627
ZCTA5 02815,72,7260,-7188
ZCTA5 02816,13371,2204,11167
ZCTA5 02817,2316,1795,521
ZCTA5 02818,8307,210,8097
ZCTA5 02822,2018,798,1220
ZCTA5 02823,13,2902,-2889
ZCTA5 02824,85,2630,-2545
ZCTA5 02825,1843,1238,605
ZCTA5 02826,282,2079,-1797
ZCTA5 02827,844,279,565
ZCTA5 02828,3183,2319,864
ZCTA5 02829,35,49,-14
ZCTA5 02830,2409,1479,930
ZCTA5 02831,1473,1521,-48
ZCTA5 02832,1816,692,1124
ZCTA5 02833,352,10946,-10594
ZCTA5 02835,2361,0,2361
ZCTA5 02836,53,6467,-6414
ZCTA5 02837,1592,9087,-7495
ZCTA5 02838,1310,3264,-1954
ZCTA5 02839,589,216,373
ZCTA5 02840,10171,2322,7849
ZCTA5 02841,6,18519,-18513
ZCTA5 02842,7270,10633,-3363
ZCTA5 02852,9563,6615,2948
ZCTA5 02857,3155,12917,-9762
ZCTA5 02858,214,6646,-6432
ZCTA5 02859,2436,6853,-4417
ZCTA5 02860,18949,53,18896
ZCTA5 02861,10737,64,10673
ZCTA5 02863,7074,2116,4958
ZCTA5 02864,13620,180,13440
ZCTA5 02865,6756,180,6576
ZCTA5 02871,7196,6612,584
ZCTA5 02872,82,8513,-8431
ZCTA5 02873,58,1225,-1167
ZCTA5 02874,2395,6128,-3733
ZCTA5 02875,138,4502,-4364
ZCTA5 02876,520,12900,-12380
ZCTA5 02878,6651,8557,-1906
ZCTA5 02879,9148,11294,-2146
ZCTA5 02881,793,9034,-8241
ZCTA5 02882,5492,1617,3875
ZCTA5 02885,5032,12934,-7902
ZCTA5 02886,12976,196,12780
ZCTA5 02888,8365,16518,-8153
ZCTA5 02889,11354,4489,6865
ZCTA5 02891,9936,459,9477
ZCTA5 02892,2091,4434,-2343
ZCTA5 02893,14030,12807,1223
ZCTA5 02894,255,8585,-8330
ZCTA5 02895,16921,11248,5673
ZCTA5 02896,4455,8719,-4264
ZCTA5 02898,575,12563,-11988
ZCTA5 02903,5047,14305,-9258
ZCTA5 02904,12951,8189,4762
ZCTA5 02905,9862,6651,3211
ZCTA5 02906,12185,9,12176
ZCTA5 02907,10591,9061,1530
ZCTA5 02908,14380,7500,6880
ZCTA5 02909,14857,3612,11245
ZCTA5 02910,8624,4253,4371
ZCTA5 02911,6637,11581,-4944
ZCTA5 02912,13,14424,-14411
ZCTA5 02914,9311,4142,5169
ZCTA5 02915,7168,4031,3137
